id,short_code,name,classification,type,size,color,description_main,description_extra,manufacturer,part_number
food_seasoning_100_gram_bag,,Food Seasoning 100 Gram Bag,food,seasoning,,,,100_gram_bag,,
food_seasoning_herb_basil_100_gram_bag,,Food Seasoning Herb Basil 100 Gram Bag,food,seasoning,herb,,basil,100_gram_bag,,
food_seasoning_herb_basil_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Basil 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,basil,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_basil_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Basil 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,basil,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_bay_leaves_100_gram_bag,,Food Seasoning Herb Bay Leaves 100 Gram Bag,food,seasoning,herb,,bay_leaves,100_gram_bag,,
food_seasoning_herb_bay_leaves_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Bay Leaves 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,bay_leaves,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_bay_leaves_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Bay Leaves 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,bay_leaves,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_chives_100_gram_bag,,Food Seasoning Herb Chives 100 Gram Bag,food,seasoning,herb,,chives,100_gram_bag,,
food_seasoning_herb_chives_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Chives 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,chives,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_chives_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Chives 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,chives,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_coriander_100_gram_bag,,Food Seasoning Herb Coriander 100 Gram Bag,food,seasoning,herb,,coriander,100_gram_bag,,
food_seasoning_herb_coriander_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Coriander 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,coriander,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_coriander_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Coriander 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,coriander,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_dill_100_gram_bag,,Food Seasoning Herb Dill 100 Gram Bag,food,seasoning,herb,,dill,100_gram_bag,,
food_seasoning_herb_dill_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Dill 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,dill,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_dill_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Dill 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,dill,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_garlic_powder_100_gram_bag,,Food Seasoning Herb Garlic Powder 100 Gram Bag,food,seasoning,herb,,garlic_powder,100_gram_bag,,
food_seasoning_herb_garlic_powder_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Garlic Powder 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,garlic_powder,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_garlic_powder_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Garlic Powder 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,garlic_powder,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_marjoram_100_gram_bag,,Food Seasoning Herb Marjoram 100 Gram Bag,food,seasoning,herb,,marjoram,100_gram_bag,,
food_seasoning_herb_marjoram_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Marjoram 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,marjoram,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_marjoram_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Marjoram 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,marjoram,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_mint_100_gram_bag,,Food Seasoning Herb Mint 100 Gram Bag,food,seasoning,herb,,mint,100_gram_bag,,
food_seasoning_herb_mint_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Mint 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,mint,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_mint_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Mint 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,mint,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_onion_granules_100_gram_bag,,Food Seasoning Herb Onion Granules 100 Gram Bag,food,seasoning,herb,,onion_granules,100_gram_bag,,
food_seasoning_herb_onion_granules_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Onion Granules 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,onion_granules,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_onion_granules_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Onion Granules 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,onion_granules,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_oregano_100_gram_bag,,Food Seasoning Herb Oregano 100 Gram Bag,food,seasoning,herb,,oregano,100_gram_bag,,
food_seasoning_herb_oregano_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Oregano 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,oregano,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_oregano_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Oregano 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,oregano,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_parsley_100_gram_bag,,Food Seasoning Herb Parsley 100 Gram Bag,food,seasoning,herb,,parsley,100_gram_bag,,
food_seasoning_herb_parsley_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Parsley 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,parsley,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_parsley_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Parsley 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,parsley,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_rosemary_100_gram_bag,,Food Seasoning Herb Rosemary 100 Gram Bag,food,seasoning,herb,,rosemary,100_gram_bag,,
food_seasoning_herb_rosemary_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Rosemary 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,rosemary,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_rosemary_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Rosemary 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,rosemary,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_sage_100_gram_bag,,Food Seasoning Herb Sage 100 Gram Bag,food,seasoning,herb,,sage,100_gram_bag,,
food_seasoning_herb_sage_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Sage 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,sage,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_sage_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Sage 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,sage,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_taragon_100_gram_bag,,Food Seasoning Herb Taragon 100 Gram Bag,food,seasoning,herb,,taragon,100_gram_bag,,
food_seasoning_herb_taragon_42_mm_width_42_mm_height_100_mm_depth_bottle_tesco,,Food Seasoning Herb Taragon 42 mm Width 42 mm Height 100 mm Depth Bottle Tesco,food,seasoning,herb,,taragon,42_mm_width_42_mm_height_100_mm_depth_bottle,tesco,
food_seasoning_herb_taragon_44_mm_diameter_100_mm_depth_bottle_schwartz,,Food Seasoning Herb Taragon 44 mm Diameter 100 mm Depth Bottle Schwartz,food,seasoning,herb,,taragon,44_mm_diameter_100_mm_depth_bottle,schwartz,
food_seasoning_herb_thyme_100_gram_bag,,Food Seasoning Herb Thyme 100 Gram Bag,food,seasoning,herb,,thyme,100_gram_bag,,
